date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2018-12-25 12:05:19,SarahMillican75,Incognito_scd,1,0,5,Oh I’m sorry Lauren. That is so hard. Sending lots of love. #joinin,,,#joinin,1077535758016221184,https://twitter.com/SarahMillican75/status/1077535758016221184
2018-12-25 12:04:56,SarahMillican75,wintersglitch,0,0,22,Families can be tricky. Look after yourself xx #joinin,,,#joinin,1077535663895896064,https://twitter.com/SarahMillican75/status/1077535663895896064
2018-12-25 12:03:43,SarahMillican75,blckburn,0,0,1,,,,,1077535355459588096,https://twitter.com/SarahMillican75/status/1077535355459588096
2018-12-25 12:03:37,SarahMillican75,GordoGabbles,1,0,7,,,,,1077535334051823623,https://twitter.com/SarahMillican75/status/1077535334051823623
2018-12-25 12:03:11,SarahMillican75,TMcCMac1,3,0,12,"Well, he looks adorable. They are some good plans. #joinin",,,#joinin,1077535223699652608,https://twitter.com/SarahMillican75/status/1077535223699652608
2018-12-25 12:02:46,SarahMillican75,ANNFERGUSSON,1,0,7,Oh good lass. #joinin,,,#joinin,1077535116895891457,https://twitter.com/SarahMillican75/status/1077535116895891457
2018-12-25 12:02:10,SarahMillican75,SaltireLady,1,0,6,Sorry to hear that. Families can be complicated. Have you got anyone with you today? X #joinin,,,#joinin,1077534965880012801,https://twitter.com/SarahMillican75/status/1077534965880012801
2018-12-25 12:01:31,SarahMillican75,LondonLadAnt,61,2,136,Good question! @jennyeclair @davidwalliams @ClaudiaWinkle @RomeshRanga and @JasonManford. You?https://twitter.com/LondonLadAnt/status/1077533750039363584 …,,@jennyeclair @davidwalliams @ClaudiaWinkle @RomeshRanga @JasonManford,,1077534802381860865,https://twitter.com/SarahMillican75/status/1077534802381860865
2018-12-25 11:58:19,SarahMillican75,ANNFERGUSSON,1,0,5,I’m so glad. Have you got anything nice in to eat? #joinin,,,#joinin,1077533997046132736,https://twitter.com/SarahMillican75/status/1077533997046132736
2018-12-25 11:58:01,SarahMillican75,TMcCMac1,1,0,12,I’m so glad. Got any telly plans later? X #joinin,,,#joinin,1077533924694335488,https://twitter.com/SarahMillican75/status/1077533924694335488
2018-12-25 11:53:21,SarahMillican75,,147,1137,4564,"Thank you to everyone who is chatting on #joinin. If you are feeling rubbish and would like some company, make yourself known. And always use the hashtag #joinin so that everyone can see you. Love to all.",,,#joinin #joinin,1077532749148377089,https://twitter.com/SarahMillican75/status/1077532749148377089
2018-12-25 10:44:11,SarahMillican75,,395,212,4184,"We’ve opened the biscuits. #joinin Dive in, everyone. pic.twitter.com/M90OeU011j",,,#joinin,1077515340312133632,https://twitter.com/SarahMillican75/status/1077515340312133632
2018-12-25 10:24:33,SarahMillican75,RabbleChorus,0,0,8,"Sending lots of love, Kirsty. #joinin",,,#joinin,1077510402060230657,https://twitter.com/SarahMillican75/status/1077510402060230657
2018-12-25 10:23:45,SarahMillican75,tragicsupergirl,0,0,6,You will find your feet in time. Just take your time. There’s no rush. And allow yourself to feel sad when you need to. Thinking of you. #joinin,,,#joinin,1077510199865495552,https://twitter.com/SarahMillican75/status/1077510199865495552
2018-12-25 10:22:36,SarahMillican75,,0,0,3,"Haha. He’s a clever little one. Have a good day, Hannah #joinin",,,#joinin,1077509911624540160,https://twitter.com/SarahMillican75/status/1077509911624540160
2018-12-25 10:21:27,SarahMillican75,laurens19287,2,0,19,Sending love to you and yours Lauren. That’s a tricky time for sure. #joinin,,,#joinin,1077509620074188800,https://twitter.com/SarahMillican75/status/1077509620074188800
2018-12-25 10:20:41,SarahMillican75,counsel30,2,0,35,"They are beautiful! Here is mine, Commander Tuvok. He is the light of my life. Enjoy your walk. #joininpic.twitter.com/7Q9i16zjTY",,,#joininpic,1077509429107585026,https://twitter.com/SarahMillican75/status/1077509429107585026
2018-12-25 10:18:06,SarahMillican75,Mr_Picard,2,1,21,"Old Dallas episodes? Oh my gosh, that might be the best way to spend today. I bloody loved Dallas. And Dynasty. Patrick Duffy #joininpic.twitter.com/S2IsWzoEb6",,,#joininpic,1077508778218700801,https://twitter.com/SarahMillican75/status/1077508778218700801
2018-12-25 10:15:50,SarahMillican75,AnitaSGera,1,0,5,"Ah a very early Merry Christmas to you Jamez and also, Anita’s kids. Much love to all. #joinin",,,#joinin,1077508209307537408,https://twitter.com/SarahMillican75/status/1077508209307537408
2018-12-25 10:12:42,SarahMillican75,transkid0,1,0,48,"Your cousin sounds like a good start. Stick with her like glue. She (and we) will get you through today. All other days are easier than Christmas Day, remember that. X #joinin",,,#joinin,1077507419293601792,https://twitter.com/SarahMillican75/status/1077507419293601792
2018-12-25 10:11:06,SarahMillican75,DavidKeech5,1,0,3,Merry christmas to you and the Duke xx #joinin,,,#joinin,1077507015717601280,https://twitter.com/SarahMillican75/status/1077507015717601280
2018-12-25 10:07:42,SarahMillican75,SarahMillican75,1,0,0,You okay? Xx,,,,1077506159270117376,https://twitter.com/SarahMillican75/status/1077506159270117376
